Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Exception
2017/02/17, 23:16:55, 39.014935, -123.065552, 596.49,  0.00, 157, 0, 0.00, 
2017/02/17, 23:17:01, 39.015148, -123.065521, 590.06,  2268.00, 35, 0, 23.84, 
2017/02/17, 23:17:06, 39.015182, -123.065514, 592.79,  432.00, 29, 0, 3.83, 
2017/02/17, 23:17:11, 39.015179, -123.065514, 593.39,  0.00, 29, 0, 0.33, 
2017/02/17, 23:17:16, 39.015179, -123.065514, 593.39,  0.00, 29, 0, 0.00, 
2017/02/17, 23:17:21, 39.015179, -123.065514, 593.39,  0.00, 29, 0, 0.00, 
2017/02/17, 23:17:26, 39.015144, -123.065559, 601.22,  1332.00, 354, 0, 5.50, 
2017/02/17, 23:17:31, 39.015156, -123.065529, 606.34,  1404.00, 17, 0, 2.92, 
2017/02/17, 23:17:36, 39.015198, -123.065506, 608.57,  3204.00, 9, 0, 5.08, 
2017/02/17, 23:17:40, 39.015228, -123.065529, 614.59,  180.00, 12, 0, 3.88, 
2017/02/17, 23:17:47, 39.015232, -123.065521, 613.52,  0.00, 12, 0, 0.82, 
2017/02/17, 23:17:51, 39.015232, -123.065521, 613.52,  0.00, 12, 0, 0.00, 
2017/02/17, 23:17:56, 39.015232, -123.065521, 613.52,  0.00, 12, 0, 0.00, 
2017/02/17, 23:18:02, 39.015232, -123.065521, 613.52,  0.00, 12, 0, 0.00, 
2017/02/17, 23:18:07, 39.015232, -123.065521, 613.52,  0.00, 12, 0, 0.00, 
2017/02/17, 23:18:12, 39.015182, -123.065536, 605.40,  1656.00, 12, 0, 5.71, 
2017/02/17, 23:18:16, 39.015171, -123.065567, 604.28,  1872.00, 339, 0, 2.94, 
2017/02/17, 23:18:21, 39.015194, -123.065575, 606.10,  1224.00, 339, 0, 2.65, 
2017/02/17, 23:18:26, 39.015205, -123.065559, 605.46,  0.00, 339, 0, 1.85, 
2017/02/17, 23:18:31, 39.015205, -123.065559, 605.46,  0.00, 339, 0, 0.00, 
2017/02/17, 23:18:37, 39.015205, -123.065559, 605.46,  0.00, 339, 0, 0.00, 
2017/02/17, 23:18:41, 39.015297, -123.065567, 603.21,  2808.00, 327, 0, 10.25, 
2017/02/17, 23:18:46, 39.015312, -123.065590, 602.52,  756.00, 323, 0, 2.59, 
2017/02/17, 23:18:52, 39.015285, -123.065590, 595.93,  0.00, 323, 0, 3.00, 
2017/02/17, 23:18:56, 39.015247, -123.065544, 593.33,  1008.00, 323, 0, 5.80, 
2017/02/17, 23:19:01, 39.015274, -123.065552, 596.91,  0.00, 323, 0, 3.08, 
2017/02/17, 23:19:06, 39.015274, -123.065552, 596.91,  0.00, 323, 0, 0.00, 
2017/02/17, 23:19:12, 39.015240, -123.065468, 595.26,  720.00, 323, 0, 8.18, 
2017/02/17, 23:19:17, 39.015282, -123.065445, 598.42,  2268.00, 20, 0, 5.08, 
2017/02/17, 23:19:22, 39.015308, -123.065445, 596.10,  1368.00, 3, 0, 2.89, 
2017/02/17, 23:19:26, 39.015312, -123.065460, 599.07,  1224.00, 7, 0, 1.37, 
2017/02/17, 23:19:32, 39.015366, -123.065521, 599.64,  1476.00, 326, 0, 7.99, 1
2017/02/17, 23:19:37, 39.015381, -123.065514, 598.79,  0.00, 326, 0, 1.77, 
2017/02/17, 23:19:42, 39.015381, -123.065468, 599.26,  1440.00, 326, 0, 3.97, 
2017/02/17, 23:19:47, 39.015385, -123.065430, 595.66,  2160.00, 20, 0, 3.31, 
2017/02/17, 23:19:52, 39.015392, -123.065407, 595.30,  0.00, 20, 0, 2.13, 1
2017/02/17, 23:19:56, 39.015392, -123.065407, 595.30,  0.00, 20, 0, 0.00, 
2017/02/17, 23:20:02, 39.015339, -123.065468, 595.46,  1296.00, 20, 0, 7.91, 
2017/02/17, 23:20:06, 39.015308, -123.065468, 595.31,  0.00, 113, 0, 3.45, 
2017/02/17, 23:20:11, 39.015308, -123.065468, 595.31,  0.00, 113, 0, 0.00, 
2017/02/17, 23:20:16, 39.015167, -123.065514, 598.41,  0.00, 113, 0, 16.17, 
2017/02/17, 23:20:21, 39.015156, -123.065468, 598.00,  1188.00, 147, 0, 4.16, 
2017/02/17, 23:20:27, 39.015144, -123.065460, 597.18,  0.00, 147, 0, 1.50, 1
2017/02/17, 23:20:31, 39.015144, -123.065483, 594.84,  2196.00, 220, 0, 1.99, 
2017/02/17, 23:20:36, 39.015114, -123.065506, 596.38,  1548.00, 238, 0, 3.88, 
